id,scenario,class_num,project,name-param-samling,AUC-ROC,MCC,path,clf
930,timewise,2,OFBiz,NB 1e-07 SMOTE,0.591421614,0.109314314,z:\data\prediction_compare_2\timewise_OFBiz_NB 1e-07 SMOTE_10.pk,NB
1278,timewise,3,OFBiz,NB 1 NONE,0.519082028,0.040724603,z:\data\prediction_compare_3\timewise_OFBiz_NB 1 NONE_10.pk,NB
3342,timewise,5,OFBiz,NB 1e-05 SMOTE,0.511374022,0.022906014,z:\data\prediction_compare_5\timewise_OFBiz_NB 1e-05 SMOTE_10.pk,NB
3630,within,2,OFBiz,NB 1e-07 NONE,0.546705371,0.057821364,z:\data\prediction_compare_2\within_OFBiz_NB 1e-07 NONE_10_.pk,NB
4818,within,3,OFBiz,NB 1e-09 NONE,0.525019164,0.054901292,z:\data\prediction_compare_3\within_OFBiz_NB 1e-09 NONE_10_.pk,NB
6918,within,5,OFBiz,NB 1e-09 SMOTE,0.525204963,0.055924785,z:\data\prediction_compare_5\within_OFBiz_NB 1e-09 SMOTE_10_.pk,NB
8118,cross,2,OFBiz,NB 1e-09 SMOTE,0.511363341,0.022176949,z:\data\prediction_compare_2\cross_OFBiz_NB 1e-09 SMOTE_10.pk,NB
9078,cross,3,OFBiz,NB 1 RUS,0.510754212,0.020931943,z:\data\prediction_compare_3\cross_OFBiz_NB 1 RUS_10.pk,NB
10518,cross,5,OFBiz,NB 1e-09 SMOTE,0.510651244,0.036851459,z:\data\prediction_compare_5\cross_OFBiz_NB 1e-09 SMOTE_10.pk,NB
919,timewise,2,Wicket,NB 1e-09 SMOTE,0.56335888,0.084209062,z:\data\prediction_compare_2\timewise_Wicket_NB 1e-09 SMOTE_10.pk,NB
2119,timewise,3,Wicket,NB 1e-09 SMOTE,0.528079572,0.055014334,z:\data\prediction_compare_3\timewise_Wicket_NB 1e-09 SMOTE_10.pk,NB
2419,timewise,5,Wicket,NB 1e-09 NONE,0.520929874,0.03800999,z:\data\prediction_compare_5\timewise_Wicket_NB 1e-09 NONE_10.pk,NB
3919,within,2,Wicket,NB 1e-09 ROS,0.617196293,0.187630977,z:\data\prediction_compare_2\within_Wicket_NB 1e-09 ROS_10_.pk,NB
4831,within,3,Wicket,NB 1e-07 NONE,0.519985674,0.055407305,z:\data\prediction_compare_3\within_Wicket_NB 1e-07 NONE_10_.pk,NB
6655,within,5,Wicket,NB 0.001 RUS,0.514764829,0.028885045,z:\data\prediction_compare_5\within_Wicket_NB 0.001 RUS_10_.pk,NB
7519,cross,2,Wicket,NB 1e-09 ROS,0.54734998,0.072552408,z:\data\prediction_compare_2\cross_Wicket_NB 1e-09 ROS_10.pk,NB
8719,cross,3,Wicket,NB 1e-09 ROS,0.517233276,0.054512757,z:\data\prediction_compare_3\cross_Wicket_NB 1e-09 ROS_10.pk,NB
9655,cross,5,Wicket,NB 0.001 NONE,0.505315266,0.008817042,z:\data\prediction_compare_5\cross_Wicket_NB 0.001 NONE_10.pk,NB
620,timewise,2,Hibernate ORM,NB 1e-09 RUS,0.527675149,0.057167434,z:\data\prediction_compare_2\timewise_Hibernate ORM_NB 1e-09 RUS_10.pk,NB
2132,timewise,3,Hibernate ORM,NB 1e-07 SMOTE,0.525309018,0.034389512,z:\data\prediction_compare_3\timewise_Hibernate ORM_NB 1e-07 SMOTE_10.pk,NB
